key,parent_key,text,type,nb_players
,,Le premier joueur qui touche les pieds de %s distribue $ gorgées,1,1
,,"%s, si tu restes 5 min sans parler à partir de maintenant tu pourras choisir qui finit son verre",1,1
,,"1 minute de sourire non stop pour %s, $ gorgées à chaque manque",1,1
,,"%s, fais nous 5 secondes de claquettes ou bois $ gorgées",1,1
,,Le premier joueur à sortir un proverbe distribue $ gorgées,1,0
,,"%s, imite un autre joueur, la première personne qui trouve distribue $ gorgées",1,1
,,"%s, fais une action commandée par %s. Si tu refuses tu bois $ gorgées",1,2
,,"%s, laisse %s envoyer un snap depuis ton téléphone ou bois $ gorgées",1,2
,,La première personne à envoyer un texto à un membre de sa famille distribue $ gorgées,1,0
,,Le prochain joueur à devoir boire distribue $ gorgées,1,0
,,Ceux qui fument là tout de suite boivent $ gorgées,1,0
,,%s fait 6 squats complets et boit une gorgée entre chaque,1,1
,,%s fait le tour des joueurs et tape dans le dos de celles et ceux qui boiront deux gorgées,1,1
,,Chacun boit un nombre de gorgées égal à son nombre d'années d'étude après le bac,1,0
,,%s distribue autant de gorgées qu'il a de frères et sœurs,1,1
,,"%s, fais toi pincer les fesses par %s ou bois $ gorgées",1,2
,,"%s, donne une qualité à chacun des joueurs et bois une gorgée pour chaque",1,1
,,"%s, donne un défaut à chacun des joueurs et bois une gorgée pour chaque",1,1
,,"%s, fais 3 culs sec d'affilée ou distribue $ gorgées",1,1
,,%s doit boire $ gorgées pendant que %s lui chuchote des choses à l'oreille,1,2
,,"%s, imite un serpent pendant 5 longues secondes ou bois $ gorgées !",1,1
,,"%s, imite une limace pendant 5 longues secondes ou bois $ gorgées !",1,1
,,"%s, imite une tortue pendant 5 longues secondes ou bois $ gorgées !",1,1
,,"%s fait une grimace en se faisant prendre en photo par %s, et boit $ gorgées !",1,2
,,"Les filles, vous buvez votre taille de soutif en gorgées (A = 1, B = 2, etc.)",1,0
,,"%s, donne autant de gorgées que tu veux à %s",1,2
,,"%s donne une action à faire à %s, si il/elle accepte, il/elle pourra distribuer $ gorgées",1,2
,,"%s envoie un texto chaud à une personne choisie par %s, ou boit $ gorgées",1,2
,,"%s envoie ""je t'aime"" par texto (sans rien envoyer derrière) à une personne choisie par %s, ou boit $ gorgées",1,2
,,%s doit faire 10 demandes d'amis sur Facebook ou boire $ gorgées,1,1
,,"%s, demande en ami quelqu'un sur Facebook choisi par %s ou bois $ gorgées",1,2
,,"%s, publie une photo sur Facebook prise par %s ou bois $ gorgées",1,2
,,"Dead time : si l'heure indique un chiffre pair buvez tous $ gorgées, autrement %s distribue $ gorgées",1,1
,,"Quand l'heure affichera un multiple de 10 (20h, 20h10, 20h20, etc.) le premier joueur à crier ""merde j'ai oublié mon chat dans l'espace"" distribuera 10 gorgées",1,0
,,"%s choisit la prochaine chanson, c'est non négociable",1,1
,,%s choisit la prochaine chanson et celles et ceux qui aiment boivent $ gorgées,1,1
,,%s choisit la prochaine chanson et celles et ceux qui n'aiment pas boivent $ gorgées,1,1
,,"%s, donne trois ex de %s ou bois $ gorgées",1,2
,,Les filles boivent autant de fois qu'il y a de beaux gars dans le jeu,1,0
,,Les gars boivent autant de fois qu'il y a de meufs bonnes dans le jeu,1,0
,,Chacun boit autant de fois qu'il y a de personnes baisables dans le jeu,1,0
,,%s donne le nombre d'habitants du Tadjikistan (à 1 000 000 près) ou boit $ gorgées,1,1
,,La charmante personne propriétaire du téléphone avec lequel vous jouez distribue $ gorgées,1,0
,,Bois $ gorgées si t'arrives à sucer ton gros orteil,1,0
,,"%s, distribue $ gorgées à la personne que tu trouves la plus intelligente",1,1
,,"%s, distribue $ gorgées à la personne que tu trouves la plus belle",1,1
,,"%s, distribue $ gorgées à la personne que tu trouves la mieux foutue",1,1
,,%s défie %s au chifoumi ! Le joueur qui perd boit $ gorgées,1,2
,,"Nommez l'échappé de la soirée, celui-ci prend $ gorgées",1,0
solidman,,"Désignez tous ensemble le joueur le plus solide, qui prendra $ gorgées",1,0
,solidman,"Chuck Norris ne tolère pas ça, le joueur désigné prend $ gorgées de plus",1,0
,solidman,Hulk se venge et distribue $ gorgées,1,0
,,"%s, tiens en équilibre sur les mains ou bois $ gorgées",1,1
,,"%s, propose 3 prénoms. Si l'un d'entre eux est le deuxième prénom d'un joueur, tu distribues $ gorgées. Bois-les sinon",1,1
,,"%s, si tu connais tous les prénoms de %s, ce joueur boira $ gorgées. Sinon ça sera toi",1,2
,,"%s, distribue autant de gorgées que tu connais de noms de famille des joueurs présents",1,1
,,"Echangez vos verres de gauche à droite. %s, bois $ gorgées avant de le faire passer",1,1
,,"Le joueur qui a la plus grosse pièce sur lui peut choisir entre la donner à quelqu'un qui prendra 7 gorgées, ou la garder et en boire 7",1,0
,,"%s, si t'arrives à offrir - sans forcing - un glaçon à un joueur avant la fin du jeu, le receveur devra finir son verre",1,1
,,"%s, si t'arrives à offrir - sans forcing - une gorgée de ton verre à un joueur avant la fin du jeu, le receveur devra finir son verre",1,1
,,"%s, choisis qui va boire $ gorgées dans ton verre",1,1
,,"%s, choisis qui va boire $ gorgées dans le verre de %s",1,2
,,"%s, tu décides entre faire boire $ gorgées à %s ou %s (tu tiens le verre)",1,3
,,"%s, soit tu distribues une gorgée à qui tu veux, soit %s en bois $",1,2
,,"%s, distribue autant de gorgées que tu portes de vêtements noirs",1,1
,,"%s, distribue autant de gorgées que tu portes de vêtements blancs",1,1
,,"%s, distribue autant de gorgées que tu portes de vêtements rouges. Bois $ gorgées si tu n'en as pas",1,1
,,"%s, distribue autant de gorgées que de paquets apéritifs ouverts. Bois $ gorgées s'il n'y en a pas",1,1
,,"%s, distribue autant de gorgées qu'il y a de E dans ton prénom, et bois autant de fois qu'il y a de A",1,1
,,"%s, distribue $ gorgées à un joueur plus bronzé que toi si c'est possible... Sinon bois-les",1,1
,,"%s, distribue $ gorgées à un joueur moins bronzé que toi si c'est possible... Sinon bois-les",1,1
,,"%s, distribue $ gorgées à un joueur plus grand que toi si c'est possible... Sinon bois-les",1,1
,,"%s, distribue $ gorgées à un joueur plus petit que toi si c'est possible... Sinon bois-les",1,1
,,"%s, distribue $ gorgées à un joueur qui a moins bu que toi si c'est possible... Sinon bois-les",1,1
,,"%s, distribue $ gorgées à un joueur qui a plus bu que toi si c'est possible... Sinon bois-les",1,1
,,"%s, distribue $ gorgées à un joueur qui est plus intelligent que toi si c'est possible... Sinon bois-les",1,1
,,"%s, distribue $ gorgées à un joueur qui est plus débile que toi si c'est possible... Sinon bois-les",1,1
,,"%s, distribue $ gorgées à un joueur qui est plus vieux que toi si c'est possible... Sinon bois-les",1,1
,,"%s, distribue $ gorgées à un joueur qui est plus jeune que toi si c'est possible... Sinon bois-les",1,1
,,"%s, distribue $ gorgées à un joueur qui est plus costaud que toi si c'est possible... Sinon bois-les",1,1
,,"%s, distribue $ gorgées à un joueur qui est moins costaud que toi si c'est possible... Sinon bois-les",1,1
,,"%s, bois autant de gorgées que de verres vides sur la table",1,1
,,"%s, bois autant de gorgées que de verres non vides sur la table",1,1
,,"%s, distribue autant de gorgées que de verres vidés par tout le monde",1,1
,,"%s, distribue $ gorgées à quelqu'un qui est déjà allé aux chiottes depuis le début de la soirée",1,1
,,"%s, distribue autant de gorgées que de verres que tu as vidés",1,1
,,"%s, donne $ gorgées au joueur que tu connais le plus",1,1
,,"%s, donne $ gorgées au joueur que tu connais le moins",1,1
,,"%s, par amour, donne $ gorgées au joueur que tu aimes le plus",1,1
,,"%s, tire à pile ou face. Choisis avant la face qui te fera boire $ gorgées et celle qui te fera les distribuer",1,1
,,"%s, choisis entre donner $ gorgées au dernier arrivé, ou une gorgée pour tous",1,1
,,Ceux qui ont râlé pour ne pas jouer à Picolo boivent $ gorgées. Honte à vous.,1,0
,,"%s, si tes pieds sont plus petits que ceux de %s tu bois $ gorgées, autrement distribue-les",1,2
,,"%s, tu pourras distribuer autant de gorgées que tu trouves de qualités à %s",1,2
,,"%s, tu pourras distribuer autant de gorgées que tu trouves de défauts à %s",1,2
,,%s et %s doivent égaliser leur verre. Le joueur qui a le verre le plus rempli boit jusqu'à arriver au même volume que son camarade,1,2
,,"%s, fais le grand écart ou bois $ gorgées",1,1
,,"%s, fais une danse de robot ou bois $ gorgées",1,1
,,"%s, récite l'alphabet à l'envers sans te tromper, en moins de 20 secondes, ou bois $ gorgées",1,1
,,"%s, chante un refrain de Maître Gims ou bois $ gorgées",1,1
,,"%s, envoie un texto à la dernière personne que tu as contactée ou bois $ gorgées",1,1
,,"%s, commente la première publication que tu trouves sur Facebook ou bois $ gorgées",1,1
,,"%s, like les 15 premières publications que tu trouves sur Facebook ou bois $ gorgées",1,1
,,"Petit tour de table, ceux qui regardent les mêmes séries en ce moment trinquent et boivent $ gorgées",1,0
,,"%s, si tu sors un seul titre de chanson d'Avril Lavigne distribue $ gorgées. Sinon bois-les",1,1
,,"%s, si tu sors 3 titres de chanson de Christophe Maé distribue $ gorgées. Sinon bois-les",1,1
,,Petite élection de la personne qui pue le plus des pieds parmi vous ! Le gagnant boira $ gorgées,1,0
,,"%s, cours dans la pièce comme un poulet mourant ou bois $ gorgées",1,1
,,"%s, cours dans la pièce comme une truie qui s'est fait égorger ou bois $ gorgées",1,1
,,"Bois 1 gorgée si t'es célibataire, 2 si t'es en couple, 3 si c'est plus compliqué... ",1,0
,,Oyé les pauvres ! Ceux qui ont des centimes sur eux peuvent faire boire ceux qui n'en ont pas,1,0
,,La personne la plus âgée et la plus jeune se défient au chifoumi pour $ gorgées,1,0
,,"%s, tu vas juger celles et ceux qui sont moins bien habillés que %s. Ils prendront $ gorgées",1,2
,,"%s, montre des photos de personnes à poil que t'as dans ton téléphone ou bois $ gorgées",1,1
,,"%s, si tu fumes, jette une cigarette entière à la poubelle ou prends $ gorgées. Tu peux en distribuer $ si tu ne fumes pas.",1,1
,,"%s, bois autant de gorgées que tu t'es fait(e) larguer",1,1
,,"%s, tu peux distribuer autant de gorgées que tu as d’oncles",1,1
,,"%s, tu peux distribuer autant de gorgées que tu as de tantes",1,1
,,"%s, choisis un objet dans la pièce. Le premier joueur à toucher l'objet distribuera $ gorgées",1,1
,,"%s, lance le début de la dernière musique écoutée sur ton téléphone. Si la majorité des joueurs ne l'aime pas, bois $ gorgées",1,1
,,"Élisez celui ou celle qui a l'habitude de s'endormir avant tout le monde en soirée, cette personne prendra $ gorgées",1,0
,,"%s et %s échangent de place, de verres aussi",1,2
,,"%s, ferme tes yeux. Si tu arrives à dire ce que chacun a dans son verre sans regarder, distribue $ gorgées. Sinon bois-les",1,1
,,"%s et %s, lisez le premier SMS qui s'affiche quand on tape ""désolé"" dans la barre de recherche. Refusez pour $ gorgées",1,2
,,"%s et %s, lisez le premier SMS qui s'affiche quand on tape ""manque"" dans la barre de recherche. Refusez pour $ gorgées",1,2
,,"%s et %s, lisez le premier SMS qui s'affiche quand on tape ""trou"" dans la barre de recherche. Refusez pour $ gorgées",1,2
,,"%s, distribue autant de gorgées que de célibataires à cette table",1,1
,,"%s, ferme les yeux. Tu dois reconnaitre tous les joueurs juste à l'odeur. Bois $ gorgées si tu n'as pas réussi",1,1
,,"%s, fais 40 sauts ou bois $ gorgées",1,1
,,"%s, fais 40 squats ou bois $ gorgées",1,1
,,L'actuel DJ de la soirée distribue $ gorgées,1,0
,,"%s, raconte-nous le geste le plus romantique que tu aies fait, ou bois $ gorgées",1,1
,,"%s, distribue autant de gorgées que tu citeras d'ex de %s. Arrête-toi quand tu veux, mais tu perds et tu bois $ gorgées à la première erreur",1,2
,,"%s, distribue autant de gorgées que tu citeras de peintres célèbres. Arrête-toi quand tu veux, mais tu perds et tu bois $ gorgées à la première erreur",1,1
,,"%s, distribue autant de gorgées que tu citeras de personnes avec qui %s a couché, sans histoire sérieuse. Arrête-toi quand tu veux, mais tu perds et tu bois $ gorgées à la première erreur",1,2
,,"%s, distribue autant de gorgées que tu citeras de frères et soeurs de personnes présentes. Arrête-toi quand tu veux, mais tu perds et tu bois $ gorgées à la première erreur",1,1
,,"%s, distribue autant de gorgées que tu citeras de capitales asiatiques. Arrête-toi quand tu veux, mais tu perds et tu bois $ gorgées à la première erreur",1,1
,,"%s, distribue autant de gorgées que tu citeras de pays dont la France est le voisin direct. Arrête-toi quand tu veux, mais tu perds et tu bois $ gorgées à la première erreur",1,1
,,"%s, distribue autant de gorgées que tu citeras d'écrivains Français. Arrête-toi quand tu veux, mais tu perds et tu bois $ gorgées à la première erreur",1,1
,,"%s, distribue autant de gorgées que tu citeras de mathématiciens célèbres. Arrête-toi quand tu veux, mais tu perds et tu bois $ gorgées à la première erreur",1,1
,,"%s, distribue autant de gorgées que tu citeras de physiciens célèbres. Arrête-toi quand tu veux, mais tu perds et tu bois $ gorgées à la première erreur",1,1
,,"%s, distribue autant de gorgées que tu citeras de philisophes célèbres. Arrête-toi quand tu veux, mais tu perds et tu bois $ gorgées à la première erreur",1,1
,,"%s, %s, %s et %s distribuent respectivement $, $, $ et $ gorgées",1,4
,,"Le premier joueur entre %s, %s et %s à montrer ses fesses distribue $ gorgées",1,3
,,Le premier joueur entre %s et %s à toucher le frigo distribue $ gorgées,1,2
,,"%s, si tu connais 3 titres de chanson de Garou distribue $ gorgées. Sinon bois-les",1,1
,,"%s, si tu connais 3 titres qui ont été ou sont des tubes espagnols distribue $ gorgées. Sinon bois-les",1,1
,,"%s, si tu peux prouver que les roux ont une âme, distribue $ gorgées. Sinon bois-les",1,1
,,"%s, si tu trouves un argument contre le fait que %s soit le pire des enfoirés, distribue $ gorgées. Sinon bois-les",1,2
,,"%s, si tu peux prouver que %s est quelqu'un sur qui on peut compter, distribue $ gorgées. Sinon bois-les",1,2
,,"%s, si tu trouves 2 arguments pour dire que %s mérite d'aller au paradis, distribue $ gorgées. Sinon bois-les",1,2
,,"%s, si tu peux prouver que %s est un copain (ou une copine) à toi, distribue $ gorgées. Sinon bois-les",1,2
married,,"%s est marié(e) à %s, les heureux mariés ont le même nombre de gorgées",2,3
,married,Rien ne va plus ! C'est le divorce entre %s et %s,2,2
group-3,,"%s, %s et %s forment un groupe, même tarif pour tout le monde !",2,4
,group-3,"%s, %s et %s se séparent",2,3
waiter,,Dites merci à %s qui fait le service,2,1
,waiter,"%s, t'as assez donné, arrête de servir",2,1
king-of-silence,,%s roi du silence. (Tu la fermes),2,1
,king-of-silence,%s peut de nouveau parler,2,1
raise-hand-to-speak,,%s doit maintenant lever le doigt pour parler et c'est %s qui lui donnera la parole,2,2
,raise-hand-to-speak,%s n'a plus à demander la parole à %s,2,2
parrot,,%s le perroquet ! Tu dois répéter tout ce que dit %s,2,2
,parrot,%s arrête de répéter ce que dit %s c'est chiant,2,2
give-phone,,%s laisse son portable à %s jusqu'à nouvel ordre...,2,2
,give-phone,%s peut reprendre son portable,2,1
chinese-accent,,%s doit maintenant parler avec l'accent chinois,2,1
,chinese-accent,%s peut reprendre son accent,2,1
,chinese-accent,"%s, arrête avec ton accent chinois",2,1
stare,,%s fixe %s du regard jusqu'à nouvel ordre,2,2
,stare,%s peut arrêter de fixer %s,2,2
massage,,"%s, commence à masser %s sans te plaindre",2,2
,massage,"%s, tu peux arrêter de masser",2,1
,massage,"%s, tu peux arrêter de masser, et %s boit $ gorgées",2,2
questions,,"%s, on peut te poser des questions n'importe quand. Si tu n'as pas la réponse tu bois",2,1
,questions,%s peut arrêter de répondre à vos questions pourries,2,1
must-tell-drink,,"%s, choisis un mot que tu devras dire à chaque fois qu'une personne boit",2,1
,must-tell-drink,"%s, tu n'as plus besoin de dire un mot à chaque fois qu'une personne boit",2,1
other-drink,,"%s, interdiction de boire dans ton verre. Tu devras choisir celui d'une autre personne à chaque tour",2,1
,other-drink,%s peut reboire dans son verre,2,1
crazy-claper,,%s le clapeur fou ! À chaque fois que tu claques des mains tout le monde boit (même toi) !,2,1
,crazy-claper,%s n'est plus le clapeur fou,2,1
animal-noise,,"%s devra faire un bruit d'animal après chaque gorgée, %s choisit quel animal",2,2
,animal-noise,%s peut arrêter de faire des bruits d'animaux,2,1
,animal-noise,"%s peut arrêter de faire des bruits d'animaux, et %s boit $ gorgées pour l'humiliation occasionnée",2,2
seat-knees,,%s s'assoit sur les genoux de %s,2,2
,seat-knees,%s n'est plus obligé de rester sur les genoux de %s,2,2
switch-glass,,%s et %s échangent leurs verres,2,2
,switch-glass,%s et %s peuvent reprendre leurs verres,2,2
pronoun,,"%s n'a plus le droit d'utiliser des pronoms personnels jusqu'à nouvel ordre (je, tu, il, ...), sous peine de $ gorgées",2,1
,pronoun,%s peut de nouveau parler normalement !,2,1
timewatch,,"%s l'horloge parlante ! Tu dois annoncer l'heure à chaque nouvelle minute, $ gorgées à chaque manque",2,1
,timewatch,%s tu n'es plus l'horloge parlante,2,1
one-eyed,,%s est borgne ! Ferme un œil jusqu'à nouvel ordre !,2,1
,one-eyed,%s est de nouveau bien voyant,2,1
wait-2secs,,%s est maintenant obligé d'attendre 2 secondes entre chaque mot prononcé ! $ gorgées à chaque manque,2,1
,wait-2secs,%s peut de nouveau parler normalement !,2,1
talkative,,%s est la pipelette ! Tu ne peux pas rester 3 secondes sans parler jusqu'à nouvel ordre !,2,1
,talkative,%s peut de nouveau se taire quand il le souhaite,2,1
sing123,,%s doit maintenant parler en chantant jusqu'à nouvel ordre,2,1
,sing123,%s peut de nouveau parler normalement !,2,1
mouthfuls-mirror,,"Jusqu'à nouvel ordre, dès que %s parle, %s boit une gorgée, et inversement",2,2
,mouthfuls-mirror,%s et %s peuvent de nouveau parler sans boire ou faire boire !,2,2
sub-shit,,"%s est la sous-merde ! Adressez-vous à lui/elle en l'insultant de tous les noms, il/elle n'a pas le droit de protester",2,1
,sub-shit,Tout le monde boit $ gorgées sauf %s qui n'est plus une sous-merde,2,1
swap-tshirt,,"%s et %s, échangez de T-shirts jusqu'à nouvel ordre, ou vous devrez boire 2 gorgées à chaque nouvel évènement",2,2
,swap-tshirt,%s et %s peuvent reprendre leurs T-shirts,2,2
vigilante,,"%s est le vengeur ! A chaque fois que quelqu'un reçoit une gorgée par un autre joueur, il/elle peut choisir de lui donner autant de gorgées",2,1
,vigilante,%s n'est plus le vengeur !,2,1
tourette-man,,%s a la tourette ! Quand tu cries un gros mot la dernière personne à t'imiter boit $ gorgées,2,1
,tourette-man,%s a soigné sa tourette !,2,1
upset-man,,%s est l'aigri ! Chaque fois que tu souris ou rigoles tu bois $ gorgées,2,1
,upset-man,%s n'est plus aigri !,2,1
bipolar,,%s est bipolaire ! Tu dois dire exactement l'inverse de ce que tu penses jusqu'à nouvel ordre !,2,1
,bipolar,%s n'est plus bipolaire !,2,1
speak-future,,Retour vers le futur pour %s ! Tu dois parler au futur sous peine de $ gorgées !,2,1
,speak-future,%s peut revenir au présent !,2,1
african-accent,,%s doit maintenant parler avec un accent congolais jusqu'à nouvel ordre !,2,1
,african-accent,%s peut reprendre un accent normal !,2,1
english-accent,,%s doit maintenant parler avec un accent bourgeois jusqu'à nouvel ordre !,2,1
,english-accent,%s peut reprendre un accent normal !,2,1
thats-obvious,,"%s doit maintenant dire ""c'est clair"" à chaque fois que quelqu'un finit de parler sous peine d'une gorgée !",2,1
,thats-obvious,"Fin de la règle ""c'est clair"" pour %s",2,1
imitate-gesture,,"%s, tu dois imiter %s dans ses gestes jusqu'à ce qu'on te dise d'arrêter !",2,2
,imitate-gesture,"%s, arrête d'imiter %s !",2,2
ally,,%s et %s sont alliés ! Ils peuvent partager entre eux toutes les gorgées destinées à l'un ou l'autre,2,2
,ally,%s et %s ne sont plus alliés !,2,2
answer-no,,%s doit maintenant répondre négativement quand on lui pose une question et donner un argument derrière !,2,1
,answer-no,%s n'est maintenant plus obligé de répondre non à toutes les questions !,2,1
on-your-knees,,%s se met à genoux... On te dira quand te relever !,2,1
,on-your-knees,%s peut se relever !,2,1
on-one-leg,,"%s doit rester sur une seule jambe / une seule fesse, on te dira quand arrêter !",2,1
,on-one-leg,%s peut se remettre dans une position confortable !,2,1
switch-up-n-down,,%s doit alterner entre se mettre debout et assis à chaque nouvel événement ! Il / elle boit $ gorgées à chaque manque !,2,1
,switch-up-n-down,%s peut de nouveau garder une seule position !,2,1
back-to-everyone,,"%s se met dos à tout le monde, on te dira quand te remettre dans l'axe !",2,1
,back-to-everyone,%s peut de nouveau se tourner vers la populace !,2,1
dance-now,,"%s, danse sur place et ne t'arrête pas ou tu bois une gorgée de pénalité à chaque nouvel événement !",2,1
,dance-now,%s peut arrêter de danser !,2,1
dont-stop-walking,,%s doit constamment marcher sous peine de $ gorgées !,2,1
,dont-stop-walking,%s peut arrêter de marcher !,2,1
without-fingers,,%s est manchot ! Il/elle ne peut plus utiliser ses doigts ! ,2,1
,without-fingers,%s peut de nouveau utiliser ses doigts !,2,1
keep-hands-on-your-head,,%s garde les deux mains sur sa tête sauf pour boire !,2,1
,keep-hands-on-your-head,%s peut arrêter d'avoir les mains sur sa tête !,2,1
sprich-deutsch,,%s IST DEUTSCH ! Il ou elle est maintenant obligé de parler avec un accent allemand !,2,1
,sprich-deutsch,%s peut reprendre un accent normal !,2,1
shy-man,,%s gros timide va ! Il ou elle ne peut plus répondre à aucune question sous peine de $ gorgées !,2,1
,shy-man,%s peut de nouveau répondre à n'importe quelle question !,2,1
paparazzi,,%s est le paparazzi ! Chaque fois que tu prends en photo quelqu'un sans qu'il le remarque il boit $ gorgées !,2,1
,paparazzi,%s n'est plus paparazzi !,2,1
mouth-full,,"%s, à partir du maintenant tu es obligé(e) de parler la bouche pleine sous peine de $ gorgées !",2,1
,mouth-full,%s peut de nouveau parler normalement !,2,1
impolite,,%s est l'impoli de la soirée ! Garde tes deux coudes sur la table jusqu'à nouvel ordre !,2,1
,impolite,"%s a compris ce que c'était que la politesse, enlève tes coudes de la table !",2,1
hug-way-of-life,,%s très câlin ce soir ! À chaque fois que tu caresses la nuque de quelqu'un il ou elle boit $ gorgées,2,1
,hug-way-of-life,%s n'est plus le câlineur fou !,2,1
dancing-queen,,"%s est la reine du mouv : la reine danse quand elle veut, la dernière personne à l'imiter boit deux gorgées",2,1
,dancing-queen,%s n'est plus la reine du mouv !,2,1
team-captain-hand,,"%s est le capitaine de l'équipe ! Il place sa main sur la table quand il le souhaite, le dernier joueur à avoir empilé la sienne boit $ gorgées",2,1
,team-captain-hand,"%s, t'es plus capitaine !",2,1
cheers-man,,"%s est le pilier de bar, à chaque fois que tu bois tu dois trinquer avec quelqu'un qui te suivra sur autant de gorgées",2,2
,cheers-man,%s n'est plus le pilier de bar,2,2
western-referee,,"%s est arbitre de Western ! Désigne quand tu veux deux joueurs, les cow boys. Le premier à se faire tirer dessus par l'autre boit $ gorgées ",2,3
,western-referee,%s n'est plus arbitre de western,2,3
batman,,%s est batman ! Parle comme lui ou bois $ gorgées à chaque fois que tu parles,2,1
,batman,%s n'est plus batman !,2,1
act-like-someone,,"%s, tu dois imiter %s dans ses gestes jusqu'à ce qu'on te dise d'arrêter !",2,2
,act-like-someone,"%s, arrête d'imiter %s !",2,2
david-guetta-man,,%s t'es le David Guetta des pauvres ! Choisis les chansons jusqu'à nouvel ordre,2,1
,david-guetta-man,%s t'es plus le DJ attitré,2,1
not-sociable,,%s l’insociable ! Tu ne parles qu'à %s parce que c'est ton seul copain,2,2
,not-sociable,%s peut de nouveau parler à tout le monde !,2,2
snake-man,,"%s est l'oeil du serpent ! A chaque fois que quelqu'un le regarde dans les yeux, il ou elle boit",2,1
,snake-man,%s n'est plus l'oeil du serpent,2,1
compliment-man,,"%s, à chaque fois que tu parles tu dois faire un compliment à %s, sous peine de $ gorgées",2,2
,compliment-man,"%s, tu n'es plus obligé(e) de faire un compliment à %s",2,2
