key,parent_key,text,type,nb_players
,,"Équipe %t, question avec $ gorgées en jeu : Où %s rêverait d'aller passer ses prochaines vacances ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Où est ce que %s a prévu de passer ses prochaines vacances ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quelle est la voiture préférée de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quelle matière %s détestait le plus au collège ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quelle est le pire des défauts de %s selon lui / elle ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Comment s'appelle la première personne avec qui %s est sorti ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Est ce que %s préfère les blond(e)s, les brun(e)s ou roux(sses) ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Qu'est ce que %s a mangé ce matin ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quelle est la couleur dominante des sous vêtements de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : %s préfère les glaces à la fraise ou au chocolat ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : %s préfère les burgers ou les pizzas ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quelle est la célébrité préférée de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quelle est la radio préférée de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quelle est l'émission préférée de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quelle est la position sexuelle préférée de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : À 30 minutes près, quelle est l'heure de la dernière douche de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : %s préfère les haricots ou les épinards ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : %s préfère les endives ou les cornichons ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : À quand remonte la dernière soirée alcoolisée de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : À un mois près, à quand remonte le dernier vomi de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : À quand remonte la dernière fois où %s a eu une relation sexuelle ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quand est ce que %s a pris de la drogue pour la dernière fois ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quel est le sport préféré de %s ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Dans quelle langue %s aimerait être parfaitement bilingue ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Dans quel pays aimerait vivre %s ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quelle est la ville préférée de %s ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : À 2 près, combien de pays %s a visités ? ",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quel est le dernier diplôme de %s ? ",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Combien de frères et sœurs a %s ? ",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quel est l'aspect physique que %s déteste le plus chez lui / elle ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quel est l'aspect physique que %s aime le plus chez lui / elle ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quel est le trait mental que %s déteste le plus chez lui / elle ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quel est le trait mental que %s aime le plus chez lui / elle ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Combien %s souhaiterait avoir d'enfants ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quel est le deuxième prénom de %s ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quel est le prochain pays que %s aimerait visiter ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quel est le dernier livre lu par %s ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quand %s est allé(e) au cinéma pour la dernière fois ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quel est le dernier film vu par %s ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quel est le dernier film vu par %s au cinéma ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : A quand remonte la dernière fois où %s a fait crac-crac ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quel est le prénom de la dernière personne dont %s a été amoureux(se) ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quel est le prénom de la dernière personne avec qui %s a fait l'amour ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quelle est ou était la matière préférée de %s en cours ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quelle est la couleur du manteau de %s ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Qu'est ce que choisirait %s entre un plan à 3 et un week-end à Rome entre potes ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quel est le fantasme sexuel réalisable de %s ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quel est le pouvoir magique que %s aimerait avoir ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Dans quelle ville %s a fait son école primaire ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : À 0.5 près, quelle note %s a eu au bac ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Citez un aliment que %s déteste ",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quel serait le métier de rêve pour %s ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : À quel âge %s a eu son premier sp*rme ou ses premières règles ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : À quel âge %s a eu sa première expérience sexuelle ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : À quel âge %s a eu sa première fois (avec pénétration) ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : À quel âge %s est sorti pour la première fois avec quelqu'un ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : À quel âge %s a pris l'avion pour la première fois ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : En combien de tentatives %s a eu son permis de conduire ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Combien de permis (chasse, poids lourd, moto, pêche, ...) possède %s ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quelle est la chanson préférée de %s ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : %s a eu un orgasme aujourd'hui ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : %s a déjà pris un rond point à l'envers ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est ce que %s a déjà passé 3 jours sans se laver ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est ce que %s a déjà envoyé quelqu'un à l'hôpital ?",8,1
,,"Equipe %t, pendant 30 secondes à chaque fois que %s boit une gorgée vous en buvez tous une",8,1
,,"Equipe %t, pendant 30 secondes à chaque fois que %s fait deux pompes vous buvez tous une gorgée",8,1
,,"Equipe %t, posez une question à %s qui est obligé(e) de répondre ou qui doit finir son verre",8,1
,,"Equipe %t, %s choisit quelque chose qu'il a déjà fait, si l'un de vous ne l'a jamais fait buvez tous $ gorgées",8,1
,,"Equipe %t, %s choisit quelque chose qu'il n'a jamais fait, si l'un de vous l'a déjà fait buvez tous $ gorgées",8,1
,,"Equipe %t, à tour de rôle désignez un objet rouge dans la pièce, tous les membres de l'équipe d'en face boiront une gorgée à chaque élément",8,0
,,"Equipe %t, à tour de rôle donnez une des conquêtes de %s sans vous tromper, tous les membres de son équipe boiront une gorgée à chaque fois",8,1
,,"Equipe %t, à tour de rôle citez un des acteurs de ""Le père Noël est une ordure"" sans vous tromper, tous les membres de l'équipe d'en face boiront une gorgée à chaque acteur",8,0
,,"Equipe %t, à tour de rôle citez un des personnages de ""Sex and the city"" sans vous tromper, tous les membres de l'équipe d'en face boiront une gorgée à chaque personnage",8,0
,,"Equipe %t, l'un de vous peut prêter son verre à %s qui en boira la moitié",8,1
,,"Equipe %t, si vous arrivez à trouver 10 films dans lesquels Brad Pitt a joué, %s finit son verre, sinon vous buvez tous $ gorgées",8,1
,,"Equipe %t, si vous arrivez à trouver 10 films dans lesquels Monica Bellucci a joué, %s finit son verre, sinon vous buvez tous $ gorgées",8,1
,,"Equipe %t, désignez votre fée clochette. Elle pourra donner une gorgée chaque minute à n'importe qui jusqu'à la fin du jeu",8,1
,,"Equipe %t, à tour de rôle citez une maladie que %s a eu sans vous tromper, tous les membres de l'équipe d'en face boiront une gorgée à chaque maladie (6 max)",8,1
,,"Equipe %t, si l'un d'entre vous a déjà trompé son conjoint, l'équipe d'en face boit $ gorgées, autrement vous les buvez",8,0
,,"Equipe %t, à tour de rôle citez une arme médiévale sans vous tromper, tous les membres de l'équipe d'en face boiront une gorgée à chaque arme (6 max)",8,0
,,"Equipe %t, à tour de rôle faites un bruit avec une partie de votre corps (claques et fessées ne comptent pas). Pour chaque nouvelle partie l'équipe d'en face boit $ gorgées",8,0
,,"Equipe %t, choisissez un de vos adversaires qui finira un des verres de son équipe",8,0
,,"Equipe %t, si l'un des joueurs lèche le front d'un ou d'une partenaire à pleine langue l'équipe d'en face boit $ gorgées. Sinon vous buvez tous $ gorgées",8,0
,,"Equipe %t, si l'un de vos joueurs caresse les fesses nues d'un ou d'une partenaire l'équipe d'en face boit $ gorgées. Sinon vous buvez tous $ gorgées",8,0
,,"Equipe %t, si l'un de vos joueurs embrasse un ou une partenaire sur la bouche l'équipe d'en face boit $ gorgées. Sinon vous buvez tous $ gorgées",8,0
,,"Prêts pour le sacrifice ? Equipe %t, si l'un de vous finit son verre l'équipe d'en face boit $ gorgées. Sinon vous buvez tous $ gorgées",8,0
,,"Equipe %t, à tour de rôle citez un pays que %s a visité sans vous tromper, tous les membres de l'équipe d'en face boivent à chaque pays (6 max)",8,1
,,"Equipe %t, à tour de rôle décrivez une des positions sexuelles que %s a pratiquées sans vous tromper, l'équipe d'en face boit une gorgée pour chaque (6 max)",8,1
,,"Equipe %t, soit %s boit $ gorgées soit %s boit $ gorgées, à vous de décider",8,2
,,"Prêts pour le sacrifice ? Equipe %t, si quelqu'un se met torse nu ou en soutif l'équipe d'en face boit $ gorgées, sinon vous les buvez",8,0
,,"Équipe %t, vous décidez entre rajouter de l'alcool dans chaque verre de l'équipe d'en face, ou les faire boire $ gorgées",8,0
,,"Équipe %t, chacun fait boire à l'adversaire de son choix une gorgée dans son propre verre",8,0
,,"Equipe %t, chacun distribue une gorgée à l'adversaire de son choix",8,0
,,"Equipe %t, chacun distribue deux gorgées à l'adversaire de son choix",8,0
,,"Equipe %t, chacun distribue trois gorgées à l'adversaire de son choix",8,0
,,"Equipe %t, buvez chacun une gorgée dans le verre d'un adversaire de votre choix",8,0
,,"Equipe %t, buvez chacun deux gorgées dans le verre d'un adversaire de votre choix",8,0
,,"Equipe %t, buvez chacun trois gorgées dans le verre d'un adversaire de votre choix",8,0
,,"Équipe %t, donnez à tour de rôle un animal que %s a caressé sans vous tromper, l'équipe d'en face boit pour chaque animal (6 max)",8,1
,,"Equipe %t, choisissez l'adversaire qui devra boire une gorgée dans chacun de vos verres",8,1
,,"Equipe %t, choisissez l'adversaire qui devra boire une gorgée dans tous les verres",8,0
,,"Équipe %t, donnez $ gorgées à l'un des joueurs de l'équipe d'en face",8,0
,,"Equipe %t, enlevez tous un vêtement ou buvez tous $ gorgées",8,0
,,"Traîtres ou solidaires ? Equipe %t, laissez %s choisir le bizut de votre équipe qui finira son verre, ou buvez tous $ gorgées",8,1
,,"Equipe %t, l'un de vous finit le verre d'un membre de l'équipe ou toute l'équipe boit $ gorgées",8,0
,,"Equipe %t, si vous trouvez 5 des 7 péchés capitaux %s finit son verre, autrement buvez $ gorgées",8,1
,,"Equipe %t, si vous trouvez 5 des 7 merveilles du monde %s finit son verre, autrement buvez $ gorgées",8,1
,,"Equipe %t, trinquez ensemble !",8,0
,,"Equipe %t, si vous arrivez à sortir au moins 50€ en liquide à vous tous, %s finit son verre, autrement buvez $ gorgées",8,1
,,"Équipe %t, chacun boit une gorgée, %s en boit $",8,1
,,"Équipe %t, choisissez qui doit finir son verre entre %s et %s",8,2
,,"Équipe %t, choisissez qui doit boire $ gorgées entre %s et %s",8,2
,,"Équipe %t, choisissez si %s doit boire $ gorgées ou si %s doit finir son verre",8,2
,,"Equipe %t, si l'un de vous a déjà couché avec un membre de l'équipe d'en face vos adversaires boivent $ gorgées, autrement vous les buvez",8,0
,,"Equipe %t, si l'un de vous a déjà fait des préliminaires avec un membre de l'équipe d'en face vos adversaires boivent $ gorgées, autrement vous les buvez",8,0
,,"Equipe %t, si l'un de vous a déjà vu un membre de l'équipe d'en face tout nu vos adversaires boivent $ gorgées, autrement vous les buvez",8,0
,,"Equipe %t, si l'un de vous est en couple avec un membre de l'équipe d'en face vos adversaires font CUL SEC ! Sinon vous buvez $ gorgées",8,0
,,"Equipe %t, si l'un de vous a été (ou est) sexfriend avec un membre de l'équipe d'en face vos adversaires font CUL SEC ! Sinon vous buvez $ gorgées",8,0
,,"Equipe %t, à tour de rôle distribuez des gorgées à l'un de vos adversaires. Le premier en donne 1, le second 2, etc.",8,0
,,"Equipe %t, choisissez entre donner une gorgée à tous les joueurs d'en face ou $ à %s",8,1
,,"Traîtres ou solidaires ? Equipe %t, laissez %s choisir le ou la plus débile de votre équipe qui boira $ gorgées, ou soyez solidaires et buvez tous $ gorgées",8,1
,,"Traîtres ou solidaires ? Equipe %t, laissez %s choisir le/la moche de votre équipe qui boira $ gorgées, ou soyez solidaires et buvez tous $ gorgées",8,1
,,"Traîtres ou solidaires ? Equipe %t, laissez %s choisir le ou la plus chiante de votre équipe qui boira $ gorgées, ou soyez solidaires et buvez tous $ gorgées",8,1
,,"Equipe %t, soit vous balancez un dossier sur un de vos adversaires soit vous buvez tous $ gorgées",8,0
,,"Traîtres ou solidaires ? Équipe %t, vous choisissez entre laisser l'équipe d'en face balancer un dossier sur l'un de vous ou boire tous $ gorgées",8,0
,,"Traîtres ou solidaires ? Equipe %t, laissez %s choisir le paratonnerre de votre équipe (qui sera le seul à boire pendant 3 minutes), ou buvez tous $ gorgées",8,1
,,"Traîtres ou solidaires ? Equipe %t, laissez %s choisir l'un de vos membres qui devra se mettre torse nu ou en soutif ou buvez tous ensemble $ gorgées",8,1
,,"Traîtres ou solidaires ? Équipe %t, vous choisissez entre attacher l'un de vos membres ou boire tous $ gorgées (scotch, corde, ...)",8,0
,,"Traîtres ou solidaires ? Équipe %t, vous choisissez parmi vos adversaires qui va enlever un vêtement à qui, s'ils refusent toute leur équipe boit $ gorgées",8,0
,,"Traîtres ou solidaires ? Équipe %t, vous choisissez entre livrer l'un de vous à l'équipe d'en face pour 6 fessées ou boire tous $ gorgées",8,0
,,"Traîtres ou solidaires ? Équipe %t, vous choisissez entre livrer l'un de vous à l'équipe d'en face pour 3 claques ou boire tous $ gorgées",8,0
,,"Traîtres ou solidaires ? Équipe %t, vous choisissez entre livrer l'un de vous à l'équipe d'en face pour 3 coups de poing à l'épaule ou boire tous $ gorgées",8,0
,,"Traîtres ou solidaires ? Équipe %t, vous choisissez entre livrer l'un de vous à l'équipe d'en face pour 5 tirages de poil ou boire tous $ gorgées",8,0
,,"Traîtres ou solidaires ? Équipe %t, vous laissez le joueur le moins bavard (depuis le début de la partie) d'entre vous boire $ gorgées ou buvez tous $ gorgées",8,0
,,"Traîtres ou solidaires ? Équipe %t, vous laissez le joueur le plus bavard (depuis le début de la partie) d'entre vous boire $ gorgées ou buvez tous $ gorgées",8,0
,,"Traîtres ou solidaires ? Équipe %t, vous élisez le plus radin d'entre vous qui devra boire $ gorgées ou buvez tous $ gorgées",8,0
,,"Traîtres ou solidaires ? Équipe %t, vous laissez le dernier d'entre vous à avoir tiré son coup boire 5 gorgées, ou buvez tous $ gorgées",8,0
,,"Traîtres ou solidaires ? Équipe %t, vous laissez le dernier joueur à être allé aux toilettes parmi vous finir son verre ou buvez tous $ gorgées",8,0
,,"Traîtres ou solidaires ? Équipe %t, vous laissez le dernier joueur arrivé à la soirée parmi vous finir son verre ou buvez tous $ gorgées",8,0
,,"Traîtres ou solidaires ? Équipe %t, vous laissez le plus jeune joueur d'entre vous finir son verre ou buvez tous $ gorgées",8,0
,,"Traîtres ou solidaires ? Équipe %t, vous laissez le plus vieux joueur d'entre vous finir son verre ou buvez tous $ gorgées",8,0
,,"Traîtres ou solidaires ? Équipe %t, vous laissez le plus léger joueur d'entre vous finir son verre ou buvez tous $ gorgées",8,0
,,"Traîtres ou solidaires ? Équipe %t, vous élisez la sous-merde d'entre vous qui se fera insulter sans rien dire par l'équipe d'en face pendant 10 minutes ou buvez tous $ gorgées",8,0
,,"Traîtres ou solidaires ? Équipe %t, vous élisez Bernardo parmi vous qui fermera sa bouche pendant 5 minutes, ou buvez tous $ gorgées",8,0
,,"Equipe %t, si vous arrivez à trouver 10 bars ambiancés du coin (à moins de 10 bornes) %s finit son verre, autrement vous buvez $ gorgées",8,1
,,"Equipe %t, si vous arrivez à trouver 8 boîtes de nuit du coin (à moins de 10 bornes) %s finit son verre, autrement vous buvez $ gorgées",8,1
,,"Traîtres ou solidaires ? Équipe %t, vous laissez le dernier joueur d'entre vous à avoir fait du sport finir son verre ou buvez tous $ gorgées",8,0
,,"Traîtres ou solidaires ? Équipe %t, vous laissez le dernier joueur d'entre vous à avoir consulté son portable finir son verre ou buvez tous $ gorgées",8,0
,,"Équipe %t, montrez des photos compromettantes de n'importe quel joueur, l'équipe d'en face boit à chaque photo (6 photos max)",8,0
,,"Traîtres ou solidaires ? Équipe %t, vous laissez le ou la plus insociable d'entre vous finir son verre (le moins d'amis sur FB) ou buvez tous $ gorgées",8,0
,,"Equipe %t, soit %s embrasse l'un d'entre vous sur la bouche soit vous buvez tous $ gorgées",8,1
,,"Equipe %t, soit %s (mode actif) mime une levrette avec l'un d'entre vous (mode passif) soit vous buvez tous $ gorgées",8,1
,,"Équipe %t, vous décidez, soit %s chante un refrain de maître Gims, soit vos adversaires boivent $ gorgées (il ou elle peut quand même refuser et faire un cul sec)",8,1
,,"Traîtres ou solidaires ? Equipe %t, laissez %s choisir le plus lent d'entre vous qui finira son verre ou buvez tous $ gorgées",8,1
,,"Equipe %t, à tour de rôle, crachez dans votre verre ou buvez $ gorgées, à vous de voir",8,0
,,"Equipe %t, à tour de rôle, sniffez un peu de votre verre ou buvez $ gorgées, à vous de voir",8,0
,,"Traîtres ou solidaires ? Equipe %t, à tour de rôle et de gauche à droite, buvez $ gorgées ou donnez les à votre équipier de gauche",8,0
,,"Traîtres ou solidaires ? Equipe %t, à tour de rôle et de droite à gauche, buvez $ gorgées ou donnez les à votre équipier de droite",8,0
,,"Equipe %t, à tour de rôle distribuez des gorgées à l'un de vos adversaires. Chacun a le choix entre 1 et 4 gorgées.",8,0
,,"Équipe %t, question avec $ gorgées en jeu : Donnez deux prénoms des membres de la famille de %s ?",8,1
,,"Équipe %t, question avec $ gorgées en jeu : Quelle est la pizza préférée de %s ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Où %s est allé(e) pour la dernière fois en vacances ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quand est-ce que %s est parti(e) pour la dernière fois en vacances ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quand est-ce que %s est allé(e) pour la dernière fois au cinéma ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quel est le trait mental que %s déteste le plus chez les autres ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quel est le trait mental que %s aime le plus chez les autres ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quel est la dernière partie du corps que %s s'est blessée ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quel est la dernière appli téléchargée par %s ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quand est-ce que %s a mangé un fast-food pour la dernière fois ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quel est le dernier achat (matériel) effectué par %s ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quel est le quartier dans lequel travaille ou étudie %s ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Quel est l'intitulé exact du travail ou des études de %s ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a déjà pleuré en lisant un livre ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a déjà acheté un sex toy ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a déjà pété en faisant l'amour ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s préfère les films fantastiques ou romantiques ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s préfère le café ou le thé ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a déjà largué plus de deux personnes ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s s'est déjà fait(e) larguer plus de deux fois ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s préfère avoir un chien ou un chat ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a déjà pris des photos érotiques pour sa (son) partenaire ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a déjà dit ""je t'aime"" sans le penser ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a déjà regretté de coucher avec quelqu'un ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : À quel âge %s a eu son permis de conduire ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a déjà couché avec quelqu'un par une appli de rencontre ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a déjà fait un tour en montgolfière ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a déjà fait une partie d'Airsoft ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a déjà fait une partie de paintball ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a déjà fait 2 parties ou plus de laser game ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a déjà eu un article sur lui dans un journal ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a déjà redoublé ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s préfère faire l'amour le matin ou le soir ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a déjà eu des vues sur son beau-frère ou sa belle-soeur ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a déjà été précoce lors d'un rapport sexuel ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a l'habitude de plutôt regarder les infos ou la télé-réalité ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a déjà prêté plus de 50 euro à un ami ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a déjà pris de la drogue de synthèse ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a déjà fait du naturisme ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a déjà reçu la police pour tapage nocturne ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a déjà eu un accident de voiture ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s croit au destin ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a eu, par le passé, une relation amoureuse plus longue que 6 mois ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a eu, par le passé, une relation amoureuse plus courte qu'un mois ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a déjà eu une relation sexuelle avec l'ex d'un(e) ami(e) ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s aime percer ses boutons ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s pue des pieds ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a déjà eu un trou noir à cause de l'alcool ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Est-ce que %s a déjà fait caca en pleine nature ?",8,1
,,"Equipe %t, question avec $ gorgées en jeu : Qu'est-ce que %s sait faire de mieux en cuisine ?",8,1
,,"Équipe %t, énoncez en même temps le mot qui vous vient à l'esprit quand vous entendez ""Chat"". Vous gagnez si deux mots sont identiques ! $ gorgées en jeu",9,0
